,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,13,33,14,47,39,7,46,71,28,30,16,1
C#,24,83,5,27,4,181,32,10,101,12,41,30
D,16,11,1,5,11,37,7,29,34,7,5,39
D#,23,38,1,15,7,5,57,4,100,6,26,2
E,1,38,9,2,38,7,16,4,2,18,3,24
F,12,98,46,9,9,46,44,32,156,3,5,24
F#,23,41,14,40,18,7,18,38,57,13,33,40
G,67,1,28,6,26,2,8,97,35,21,18,28
G#,61,175,1,94,4,96,44,1,100,8,38,41
A,5,1,1,7,5,5,21,12,3,4,9,10
A#,19,50,2,32,4,17,15,3,40,3,29,10
B,10,15,32,39,39,22,24,2,45,9,1,47
