,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,138,262,19,399,83,110,87,95,132,67,60,29
C#,197,724,109,315,766,311,312,57,506,222,125,174
D,19,68,81,145,90,72,42,27,30,52,13,31
D#,105,267,16,427,268,83,341,100,563,84,125,87
E,79,360,71,196,437,46,206,92,689,291,42,186
F,28,120,16,117,15,297,140,38,301,99,146,63
F#,95,208,27,144,197,97,380,105,347,256,170,161
G,103,65,38,31,44,33,70,109,150,23,93,52
G#,378,986,123,294,313,142,281,82,807,244,161,293
A,210,307,57,102,206,24,138,21,235,251,72,132
A#,83,283,33,144,49,108,61,44,151,40,198,73
B,46,167,80,152,227,57,129,41,193,126,63,431
