,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,4,4,12,2,1,13,6,9,1,5,1,4
C#,15,5,4,2,2,90,1,6,1,3,3,4
D,4,6,123,8,8,1,50,83,3,29,11,17
D#,4,11,4,3,1,1,1,7,5,2,2,1
E,1,1,12,2,8,3,3,10,9,2,1,5
F,25,43,2,1,2,2,3,76,2,29,1,12
F#,1,6,11,2,6,3,7,8,1,61,6,2
G,6,7,43,6,2,82,14,30,1,22,15,67
G#,6,5,9,5,3,2,2,2,20,1,11,1
A,11,11,58,4,3,12,18,17,3,28,13,11
A#,3,53,18,1,4,1,2,9,15,7,9,6
B,9,1,53,5,10,4,1,27,1,10,1,19
