,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,133,32,26,6,22,61,7,48,95,30,13,8
C#,40,68,2,8,10,24,24,20,24,26,74,14
D,14,2,6,8,8,2,22,10,2,10,6,16
D#,16,8,2,18,6,4,27,8,6,20,4,4
E,30,18,2,2,14,12,4,10,4,4,8,2
F,81,34,4,2,16,169,2,12,34,6,15,6
F#,4,22,6,22,2,2,46,8,12,24,6,12
G,50,22,10,20,12,12,4,60,24,4,12,4
G#,66,36,4,2,4,66,16,18,40,4,9,6
A,22,19,11,32,2,12,33,2,4,2,12,19
A#,10,56,1,6,6,14,14,24,6,6,12,4
B,8,10,6,4,8,4,10,14,10,26,2,6
