,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,58,36,2,37,16,48,6,22,89,3,30,4
C#,30,30,9,40,40,24,8,24,49,13,37,30
D,2,4,1,9,1,3,4,8,7,4,6,7
D#,47,51,5,126,31,26,46,31,90,14,22,30
E,19,38,2,39,23,6,15,19,53,12,19,19
F,41,19,9,31,6,30,3,26,59,3,19,12
F#,3,17,1,25,18,11,9,2,12,2,22,16
G,34,20,1,26,25,19,3,14,20,6,27,2
G#,89,37,11,86,51,52,16,19,129,11,38,45
A,4,15,3,8,9,4,4,6,9,16,8,7
A#,20,46,7,46,16,19,10,26,33,3,23,14
B,4,21,5,45,28,17,12,2,34,6,12,21
