,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,995,257,67,194,132,288,17,151,172,154,168,181
C#,201,165,54,28,53,184,35,44,59,33,174,28
D,140,27,108,54,47,85,17,106,21,17,49,76
D#,189,82,66,183,85,67,58,101,58,22,29,39
E,155,49,72,73,212,174,52,119,54,63,26,40
F,209,173,115,121,179,484,44,127,297,151,90,32
F#,17,30,12,60,42,36,58,123,31,28,25,25
G,264,33,56,92,170,225,74,548,120,73,146,64
G#,161,77,17,51,45,268,44,212,299,94,58,53
A,166,29,59,30,32,131,36,80,70,202,104,41
A#,73,119,57,51,41,62,36,174,153,100,172,53
B,205,17,64,42,51,19,16,80,45,43,50,123
