,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,15,4,20,44,3,107,3,5,6,16,10,5
C#,4,59,104,1,97,3,18,21,1,9,16,2
D,21,82,147,4,72,128,71,36,32,83,89,60
D#,29,2,6,42,20,27,31,5,27,4,2,1
E,5,46,16,2,75,16,21,58,2,47,20,19
F,50,6,77,1,11,54,5,12,27,63,44,12
F#,4,14,22,15,7,14,39,52,9,76,8,1
G,91,5,24,4,30,9,39,28,22,44,70,13
G#,58,1,21,4,1,32,1,20,21,42,10,29
A,32,29,189,5,17,18,33,16,25,100,65,15
A#,5,68,106,4,11,25,7,31,19,54,55,4
B,6,4,92,5,3,14,3,4,28,6,1,32
