,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,53,2,62,34,24,19,20,45,8,63,69,21
C#,8,7,27,6,23,8,2,15,3,12,6,5
D,88,33,139,58,26,49,55,79,10,79,67,34
D#,46,4,72,18,2,20,13,25,2,16,27,3
E,23,21,44,11,25,17,9,38,2,31,27,11
F,30,6,63,33,50,51,5,23,13,31,24,10
F#,20,2,61,7,8,12,33,72,6,54,13,1
G,43,8,95,35,40,56,84,80,4,47,55,13
G#,6,2,8,3,5,10,2,11,2,10,3,6
A,49,19,72,18,28,50,51,81,6,70,52,10
A#,30,15,62,20,17,34,13,66,5,81,58,4
B,24,3,12,5,11,13,2,21,11,12,4,11
