,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,483,82,87,56,115,189,10,85,40,189,179,61
C#,95,262,114,20,160,110,60,26,42,133,56,44
D,160,92,1219,43,204,245,93,85,50,446,157,103
D#,23,52,57,99,41,31,44,48,32,42,46,12
E,127,137,200,30,265,169,46,163,45,274,44,48
F,133,86,228,78,185,586,51,146,85,384,156,19
F#,32,57,78,29,41,69,129,70,31,138,24,35
G,86,34,92,39,178,162,60,170,35,155,80,20
G#,43,47,49,21,38,78,64,27,162,62,22,93
A,227,167,485,55,243,360,113,149,51,2074,148,69
A#,94,60,178,31,38,116,26,117,63,187,261,36
B,73,46,110,26,41,22,37,24,70,57,34,201
