,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,57,15,39,68,11,44,25,25,11,89,44,8
C#,12,16,38,6,15,15,3,9,3,7,15,2
D,67,7,86,67,61,110,17,94,23,27,110,31
D#,112,9,69,48,2,43,33,59,4,37,45,4
E,4,3,7,6,10,10,6,18,12,9,11,33
F,24,5,129,78,4,204,14,36,6,29,55,41
F#,12,17,36,9,28,19,35,18,10,21,5,28
G,7,15,46,76,6,56,8,97,19,42,86,8
G#,8,11,33,6,2,31,2,17,39,5,14,6
A,70,12,54,48,3,21,21,24,6,25,44,11
A#,32,41,76,39,6,66,6,77,26,48,103,14
B,31,3,26,14,1,20,1,10,17,16,2,14
