,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,209,71,36,54,64,29,29,56,14,55,45,49
C#,43,505,184,61,171,74,142,29,99,110,102,162
D,35,168,350,49,148,92,147,66,58,106,52,119
D#,44,53,35,174,93,22,76,37,57,40,43,52
E,53,160,144,44,421,69,151,105,114,169,44,69
F,22,65,104,32,58,241,59,22,70,53,26,39
F#,12,100,115,85,142,55,568,110,126,185,39,106
G,68,26,33,29,90,37,95,290,66,93,106,67
G#,19,121,53,58,124,58,137,28,387,100,24,138
A,86,161,133,42,118,62,131,101,80,422,53,84
A#,43,112,56,38,36,21,29,107,37,45,231,77
B,77,140,147,60,78,32,78,49,139,95,67,364
