,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1,98,1,77,108,376,1,1,159,84,111,43
C#,120,117,23,4,2,62,7,2,3,10,89,5
D,1,18,34,29,15,41,12,4,21,14,29,1
D#,75,2,1,2,1,59,39,36,3,27,1,3
E,1,6,1,2,5,100,5,1,6,5,2,8
F,298,60,47,117,96,514,33,151,151,89,94,31
F#,19,3,1,59,18,48,58,11,1,5,2,4
G,183,44,1,33,4,119,16,2,2,39,1,3
G#,1,2,1,1,10,180,1,1,5,2,1,8
A,94,1,13,2,5,67,2,33,18,3,50,6
A#,150,2,20,2,2,88,42,94,1,29,127,4
B,54,7,41,23,13,28,29,2,12,5,4,39
