,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,4,7,16,6,8,16,4,39,21,1,6,9
C#,9,54,5,13,13,1,23,1,37,23,2,11
D,16,6,1,1,4,1,28,11,2,2,8,6
D#,16,33,1,32,24,1,7,7,19,1,1,4
E,2,36,5,27,31,9,10,2,13,5,2,1
F,10,7,2,1,6,1,4,1,20,4,11,5
F#,4,19,4,19,12,2,21,1,27,8,35,41
G,4,4,10,3,2,1,9,31,5,29,15,16
G#,11,14,1,31,28,10,29,2,21,17,2,6
A,2,7,3,10,12,5,14,27,16,5,1,6
A#,9,1,6,1,1,4,46,1,7,5,11,1
B,1,9,1,2,3,4,5,2,4,11,2,2
