,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,339,34,80,147,93,165,5,31,9,70,161,117
C#,64,47,113,14,137,37,9,4,8,62,4,77
D,190,210,473,41,150,215,20,41,9,117,73,50
D#,123,25,85,112,37,20,35,24,9,5,20,2
E,80,42,297,38,335,146,53,71,32,81,5,32
F,132,26,119,88,256,322,41,89,32,137,28,4
F#,6,5,23,6,60,42,124,64,33,98,4,1
G,30,6,25,17,34,159,58,119,41,169,59,25
G#,15,4,12,8,18,16,36,24,73,172,17,63
A,128,125,178,5,57,124,80,198,153,511,136,76
A#,58,7,116,21,6,27,3,58,17,195,93,33
B,86,45,67,12,29,2,2,19,42,154,34,53
