,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,238,92,44,45,26,84,1,95,71,5,83,22
C#,107,69,7,51,67,36,4,25,13,25,71,35
D,16,10,13,3,4,18,1,3,6,4,14,31
D#,40,77,2,72,19,33,17,5,44,9,17,26
E,32,67,13,22,59,21,1,42,16,7,2,4
F,76,50,27,54,22,125,8,65,64,7,34,12
F#,1,4,5,17,13,9,11,9,14,10,11,3
G,85,10,6,7,39,96,3,66,96,3,77,3
G#,94,7,6,30,11,66,40,116,115,8,70,30
A,4,30,2,12,5,6,10,2,10,11,4,7
A#,51,61,12,23,18,39,3,62,114,2,62,24
B,18,32,35,25,3,12,7,1,30,12,26,34
