,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,8,9,34,2,10,12,5,7,3,17,14,32
C#,8,33,6,21,3,13,45,2,37,3,19,10
D,36,6,11,2,53,21,1,20,5,8,1,5
D#,2,24,3,18,7,6,10,1,8,14,5,11
E,26,1,52,3,7,45,6,5,2,17,1,6
F,3,10,5,6,55,3,27,32,10,22,2,8
F#,6,47,5,14,5,22,30,10,21,3,20,2
G,20,2,10,2,19,28,5,26,8,39,1,11
G#,5,29,1,13,1,7,18,8,39,6,24,3
A,13,5,28,17,8,15,4,46,7,6,6,16
A#,12,17,1,7,1,9,14,1,20,11,2,28
B,22,16,10,7,6,6,16,11,20,22,1,20
