,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,44,4,4,24,23,56,8,4,14,14,10,12
C#,3,6,5,1,29,2,2,22,9,3,5,2
D,13,11,38,2,19,75,50,32,13,127,23,21
D#,1,4,51,4,2,8,58,3,4,16,12,17
E,6,8,31,1,25,27,1,17,19,46,5,4
F,36,8,37,30,33,50,2,7,24,95,45,56
F#,2,2,11,14,9,1,5,33,1,40,18,2
G,3,27,17,32,1,15,28,7,2,21,8,16
G#,1,13,13,4,16,11,22,1,1,10,4,40
A,43,10,172,14,39,75,3,21,9,47,6,6
A#,8,7,49,19,12,11,9,43,2,27,11,4
B,4,4,24,44,28,8,1,1,2,1,3,30
