,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,8,7,14,8,2,14,10,13,33,5,15,2
C#,2,11,4,10,6,4,2,1,14,10,3,12
D,23,5,4,8,14,12,5,3,4,2,2,4
D#,6,16,8,18,4,2,6,2,30,4,2,9
E,2,8,24,16,8,8,4,18,6,8,6,18
F,15,3,6,8,12,10,2,7,10,22,2,2
F#,4,14,1,4,10,8,4,2,2,17,10,17
G,6,2,4,2,6,22,8,2,2,4,1,6
G#,2,18,8,19,8,4,10,8,19,6,2,11
A,18,4,8,8,13,3,14,21,15,8,24,26
A#,3,4,2,7,8,2,7,8,9,41,9,2
B,6,4,10,15,4,2,14,6,5,27,11,14
