,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,346,34,61,26,72,94,9,49,18,100,77,65
C#,35,170,86,15,186,56,25,44,71,146,50,23
D,97,88,396,21,157,117,87,111,19,287,53,89
D#,21,28,44,41,16,13,14,20,7,17,16,10
E,103,178,136,11,397,128,54,142,44,203,46,46
F,76,52,142,55,140,189,15,66,26,149,71,25
F#,2,20,74,18,56,38,185,42,11,88,16,24
G,70,72,81,11,161,105,65,279,36,97,82,36
G#,24,72,16,1,43,28,8,27,99,61,17,34
A,103,109,325,27,175,168,87,161,45,653,88,54
A#,49,48,62,18,37,46,11,108,30,112,99,12
B,25,36,100,3,48,24,14,46,24,81,17,147
