,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,169,92,30,24,21,27,10,37,21,34,37,98
C#,71,180,425,15,311,47,115,41,51,319,52,172
D,64,419,1687,34,304,115,486,125,88,306,88,394
D#,44,30,25,50,70,13,66,10,15,11,27,31
E,39,247,363,84,369,64,233,293,143,322,15,125
F,26,33,127,18,115,121,103,29,29,53,36,16
F#,9,74,509,56,267,84,268,174,88,349,60,141
G,45,58,130,17,289,59,203,237,36,186,27,117
G#,16,61,74,17,120,54,83,31,114,314,1,113
A,41,376,372,19,260,89,337,228,298,1079,89,224
A#,28,50,61,28,16,21,70,67,10,93,107,40
B,48,179,308,30,155,12,105,132,105,345,52,217
