,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,208,12,103,73,20,59,9,109,67,55,42,39
C#,11,21,14,6,14,8,5,19,20,9,6,2
D,131,7,129,45,19,61,16,133,38,75,50,41
D#,78,13,51,96,8,39,19,42,29,17,30,16
E,28,10,30,3,28,38,9,23,6,21,16,9
F,75,21,99,46,34,138,7,92,52,29,30,57
F#,12,5,12,18,8,3,13,25,6,16,6,3
G,82,19,121,59,38,147,22,170,38,34,44,53
G#,48,10,43,34,7,67,9,47,85,8,38,15
A,54,6,67,14,19,44,13,45,10,46,28,9
A#,34,10,39,28,17,28,5,52,47,30,75,8
B,35,1,37,16,9,48,1,69,13,15,8,34
