,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,336,65,92,85,182,235,24,110,80,240,156,160
C#,112,350,211,29,164,112,57,69,66,124,76,118
D,193,199,1026,48,191,323,164,100,31,309,140,181
D#,70,77,58,192,97,74,122,64,38,47,61,74
E,145,169,323,100,556,239,30,306,171,173,82,72
F,205,101,279,113,299,531,90,67,127,500,76,95
F#,13,57,118,100,149,75,252,112,29,229,47,58
G,150,76,107,43,267,231,98,326,90,131,266,70
G#,95,85,37,21,115,118,122,95,287,203,27,107
A,281,180,335,65,144,420,219,318,223,1516,106,61
A#,52,73,118,84,85,32,41,230,90,234,162,75
B,113,56,202,94,117,93,20,58,80,161,77,232
