,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1620,32,194,109,425,113,92,699,95,136,46,105
C#,42,48,95,42,23,5,4,32,7,36,13,10
D,200,52,716,57,158,143,57,299,23,85,33,208
D#,109,38,59,282,35,23,17,101,93,15,77,7
E,436,30,128,15,1018,144,61,290,45,133,48,110
F,85,5,138,49,115,296,22,167,12,186,45,86
F#,75,1,57,19,38,4,97,146,20,52,1,29
G,689,51,273,104,337,172,96,1548,66,145,86,260
G#,87,2,23,95,49,10,10,54,160,58,35,18
A,132,40,90,18,112,170,57,140,21,687,56,109
A#,71,24,39,57,43,36,1,80,38,44,280,10
B,121,34,219,9,105,90,25,271,21,55,3,227
