,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,7,6,5,4,2,4,6,1,5,2,3,6
C#,1,48,10,24,11,23,71,5,20,4,65,44
D,6,7,25,14,12,22,2,1,16,2,12,23
D#,5,31,12,45,2,7,83,16,40,4,49,63
E,1,5,2,7,4,22,21,4,7,1,6,22
F,1,25,22,18,11,17,14,27,34,1,16,6
F#,9,56,4,80,21,25,45,6,23,7,121,51
G,3,1,1,20,4,3,2,3,8,4,14,1
G#,3,36,13,35,10,34,34,1,24,4,29,54
A,1,9,2,1,12,3,9,5,6,1,6,1
A#,2,64,14,62,4,19,111,19,32,3,44,19
B,4,47,20,48,23,3,50,4,61,7,24,59
