,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,451,35,117,60,218,26,99,111,30,167,49,289
C#,56,196,42,85,141,18,91,53,47,51,55,120
D,151,74,304,27,83,45,71,59,29,83,20,134
D#,59,64,37,254,250,15,159,45,57,99,30,135
E,252,141,149,194,1029,103,266,370,95,181,81,491
F,37,33,45,17,118,171,43,24,36,30,15,56
F#,100,97,88,169,289,48,527,182,102,193,63,303
G,108,77,66,43,366,37,252,697,34,97,57,230
G#,27,42,31,53,118,34,87,40,216,126,26,161
A,154,44,49,106,188,43,212,197,127,424,52,233
A#,24,51,21,26,73,21,52,58,32,67,127,151
B,233,101,131,170,478,64,302,228,156,311,129,1094
