,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,4,2,1,4,1,23,2,2,132,32,4,21
C#,5,32,57,20,10,8,26,1,3,5,13,42
D,5,47,9,2,27,64,6,11,11,5,64,17
D#,2,35,3,12,28,8,9,5,6,1,1,11
E,1,7,28,26,24,4,47,9,4,15,1,18
F,1,8,76,5,6,4,14,1,7,26,2,4
F#,1,16,7,24,45,21,41,34,24,13,9,48
G,3,9,4,1,11,1,45,11,3,15,14,7
G#,1,5,1,4,14,4,40,5,4,16,10,8
A,42,4,9,4,10,16,13,15,27,9,13,25
A#,2,1,47,6,2,1,12,1,7,4,14,31
B,15,65,10,16,20,1,31,6,12,29,27,36
