,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,44,37,19,81,3,37,10,22,90,12,35,4
C#,29,10,8,77,10,48,1,75,33,2,28,15
D,2,5,6,77,5,9,1,2,15,2,3,13
D#,102,104,29,115,31,87,16,107,148,6,36,3
E,8,8,1,21,14,31,4,8,12,3,3,7
F,12,20,35,144,30,10,2,21,33,1,20,2
F#,16,6,2,2,1,5,7,1,9,3,6,8
G,25,78,5,66,3,66,2,11,26,1,19,1
G#,104,19,24,142,2,22,5,35,76,5,28,19
A,2,1,3,6,3,1,3,1,1,3,11,3
A#,29,39,2,40,12,5,2,12,36,1,23,19
B,21,9,6,12,6,9,1,6,3,1,13,13
