,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,167,35,14,118,35,69,8,73,100,12,57,10
C#,26,170,7,77,12,83,16,29,45,13,77,68
D,23,7,59,37,6,20,6,23,13,8,18,26
D#,133,96,38,411,30,78,19,72,102,24,94,27
E,25,26,10,79,127,14,9,31,39,4,15,29
F,77,95,21,63,20,176,14,45,69,22,66,9
F#,7,22,5,17,11,22,36,13,4,6,18,14
G,64,40,36,80,29,37,12,91,33,12,68,15
G#,87,37,19,92,48,81,14,41,160,12,26,54
A,18,12,5,22,8,8,11,8,6,24,26,23
A#,57,69,15,97,7,81,20,73,45,3,167,7
B,14,14,17,30,75,8,10,18,55,32,9,149
