,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,490,36,77,129,89,189,24,152,95,36,92,54
C#,62,162,15,52,41,93,21,22,40,6,54,21
D,71,16,106,33,37,85,13,60,19,14,23,53
D#,81,33,41,151,10,49,37,45,105,16,44,31
E,73,19,32,14,87,51,20,142,19,17,17,21
F,148,88,64,50,61,381,17,106,190,52,74,23
F#,14,20,10,20,13,26,71,35,24,30,20,24
G,162,19,42,41,71,127,31,287,64,40,146,49
G#,139,57,10,82,29,123,19,92,202,12,62,26
A,62,3,11,16,18,38,17,28,10,81,49,28
A#,92,115,30,42,22,81,13,72,74,34,211,21
B,69,21,92,13,34,11,24,38,12,23,14,99
