,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,66,45,8,31,27,16,17,12,9,21,27,51
C#,47,100,262,10,223,40,81,49,42,133,20,122
D,36,256,341,14,106,90,283,95,50,168,37,159
D#,19,18,13,20,46,8,37,11,11,16,21,14
E,14,97,168,43,121,26,133,198,113,168,14,87
F,15,8,52,9,61,38,64,17,42,46,30,3
F#,16,74,148,16,175,45,141,79,45,250,49,93
G,18,24,111,12,92,34,98,96,18,90,36,120
G#,13,38,66,9,42,16,63,15,66,162,1,114
A,54,327,189,17,173,44,94,109,176,272,36,110
A#,11,51,43,24,15,18,28,37,4,49,44,16
B,21,91,233,29,101,10,92,31,30,226,25,91
