,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,538,86,63,127,133,267,63,53,53,304,62,90
C#,66,257,88,38,105,100,51,43,88,52,59,65
D,98,75,177,74,57,257,35,91,55,166,66,115
D#,104,47,36,110,86,26,68,31,37,22,23,35
E,111,104,99,44,177,114,86,106,53,231,11,25
F,211,72,293,58,100,1063,75,44,177,275,58,71
F#,46,41,38,61,68,67,92,94,127,78,33,44
G,90,31,46,16,99,129,50,168,59,73,153,59
G#,53,103,47,25,42,141,74,46,120,171,27,85
A,343,63,190,32,191,241,97,143,66,440,107,66
A#,64,69,77,28,34,31,28,114,33,92,220,52
B,115,64,112,12,69,61,70,40,66,75,23,87
