,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,33,51,7,81,4,22,20,3,129,15,28,8
C#,18,73,8,95,9,102,15,47,90,8,93,6
D,104,5,7,19,78,15,3,1,19,3,14,10
D#,57,70,12,233,8,60,37,128,147,6,49,2
E,4,3,139,2,16,6,2,385,2,144,8,53
F,25,87,6,105,7,77,12,13,75,7,47,3
F#,35,13,6,24,8,9,15,7,22,3,38,4
G,5,83,5,62,6,37,3,26,55,3,37,1
G#,154,57,15,111,7,86,20,39,147,4,75,10
A,18,6,205,6,139,3,8,141,8,9,12,67
A#,41,119,30,61,10,35,33,48,23,4,56,8
B,8,2,6,9,67,5,4,10,9,72,1,1
