,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,72,45,35,65,31,52,47,75,65,44,81,57
C#,43,126,78,88,137,54,146,69,111,83,112,136
D,49,65,130,50,51,57,120,78,50,81,61,117
D#,114,102,44,204,90,40,128,117,105,35,87,152
E,42,163,81,94,175,34,137,108,72,82,83,178
F,51,59,39,62,36,74,45,38,64,19,55,46
F#,35,181,99,175,187,45,307,82,104,97,96,216
G,62,65,92,105,136,49,76,152,80,44,143,90
G#,61,102,57,97,93,83,140,63,141,58,108,97
A,44,58,66,36,80,30,76,66,44,128,72,92
A#,52,96,80,118,93,34,133,136,128,40,133,91
B,44,121,108,124,140,36,269,109,136,81,103,278
