,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1142,19,183,231,53,384,11,106,11,267,184,59
C#,23,383,53,34,70,30,18,4,15,10,129,29
D,134,54,465,120,59,441,15,165,19,42,303,81
D#,241,30,104,836,31,248,55,94,15,81,102,28
E,42,71,8,26,228,158,17,139,1,16,29,17
F,313,22,479,225,95,2315,49,236,63,197,331,26
F#,11,18,12,38,20,34,552,78,25,18,21,34
G,128,4,147,97,137,250,52,831,34,149,190,40
G#,11,29,25,12,2,43,29,49,524,27,50,87
A,294,7,61,79,6,157,14,79,28,538,224,17
A#,218,139,258,150,32,276,24,239,71,139,2027,44
B,93,29,103,17,19,14,25,39,82,13,28,487
