,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,180,56,27,107,81,47,41,84,58,104,49,60
C#,48,309,73,90,136,94,113,83,84,72,153,111
D,39,61,277,63,61,122,103,109,66,107,111,158
D#,98,112,32,354,69,57,186,130,85,57,147,113
E,65,129,95,58,286,69,54,225,85,90,65,133
F,53,94,105,97,50,238,84,35,95,67,83,83
F#,46,118,87,206,101,69,415,62,72,158,139,154
G,95,65,115,135,202,59,87,392,58,66,146,163
G#,65,103,63,70,62,132,114,57,234,45,60,137
A,116,87,106,55,68,49,128,119,58,391,60,69
A#,34,142,146,112,90,72,151,166,97,57,371,67
B,55,90,151,93,148,76,151,121,150,92,121,414
