,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,604,22,192,67,154,87,57,363,82,113,45,97
C#,44,35,84,39,57,5,23,25,24,35,36,43
D,208,90,319,16,137,49,18,213,6,97,4,310
D#,47,35,28,249,42,9,61,41,130,15,74,10
E,241,60,180,9,526,73,34,273,70,85,6,88
F,48,19,58,23,81,99,55,197,16,56,5,33
F#,65,4,12,43,32,2,38,97,13,75,1,10
G,315,20,241,68,325,230,29,1022,58,43,101,108
G#,73,14,19,121,64,20,12,64,250,46,17,66
A,113,77,46,12,100,66,46,55,38,114,31,61
A#,33,33,10,67,10,9,1,94,25,24,71,21
B,92,41,297,27,117,41,18,116,35,56,7,193
