,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,518,98,51,77,108,376,16,152,159,84,111,43
C#,120,117,23,58,37,62,47,52,76,10,89,26
D,56,18,34,29,15,41,12,27,21,14,29,47
D#,75,103,35,232,24,59,39,36,113,27,62,29
E,75,30,20,34,60,100,17,100,41,23,57,11
F,298,60,47,117,96,514,33,151,151,89,94,31
F#,19,38,9,59,18,48,58,11,28,12,30,35
G,183,44,31,33,87,119,16,170,135,39,96,31
G#,150,70,19,78,20,180,40,136,226,27,136,43
A,94,17,13,12,21,67,16,33,18,68,50,18
A#,150,89,20,82,60,88,42,94,119,29,127,38
B,54,33,41,23,22,28,29,22,38,5,57,52
