,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,267,7,179,91,441,179,14,124,37,197,57,71
C#,7,254,87,50,239,95,84,17,51,114,21,58
D,89,69,133,25,186,183,125,309,11,202,42,95
D#,31,15,21,157,9,22,135,91,26,32,39,5
E,116,70,107,11,426,93,86,308,181,717,24,252
F,61,50,54,15,110,319,9,107,69,331,44,47
F#,36,74,43,11,59,16,85,41,25,189,33,186
G,220,21,109,47,87,68,52,218,13,138,248,219
G#,34,103,11,15,90,17,47,7,136,44,17,176
A,656,241,292,20,364,168,60,109,71,492,35,107
A#,82,105,110,52,47,32,11,52,19,45,63,19
B,64,68,323,89,333,24,90,57,58,115,14,166
