,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,3,1,9,4,14,12,14,6,4,13,1,18
C#,3,2,3,10,6,2,10,12,4,8,3,8
D,6,6,3,9,30,9,3,9,6,25,1,18
D#,4,5,5,5,16,4,7,11,8,10,5,23
E,24,13,19,14,17,6,30,6,29,12,6,27
F,8,1,1,9,11,10,8,19,2,11,1,4
F#,8,5,7,15,17,8,30,16,19,22,12,9
G,6,5,20,4,7,7,15,12,18,22,9,15
G#,1,2,22,2,17,6,16,10,20,18,14,29
A,17,20,19,4,24,7,16,19,10,12,1,32
A#,14,4,7,9,18,2,3,4,6,2,1,8
B,19,7,10,18,25,12,16,17,31,26,10,11
