,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,573,118,50,71,43,163,17,72,63,45,119,81
C#,151,511,171,59,126,100,147,56,100,96,128,143
D,58,143,293,49,120,61,97,65,31,107,30,118
D#,51,83,39,178,36,96,39,18,42,23,34,6
E,52,137,146,37,291,66,150,98,37,49,20,45
F,83,91,55,95,91,545,84,123,165,67,57,16
F#,29,143,106,45,139,62,320,112,88,146,41,83
G,85,58,46,32,104,120,125,223,83,68,80,67
G#,105,92,32,24,35,111,137,124,217,134,61,46
A,58,109,104,25,63,58,104,93,127,454,58,95
A#,86,154,31,26,16,62,34,57,98,46,248,67
B,83,149,99,5,64,28,60,50,67,113,49,311
