,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,55,10,17,24,17,18,23,2,4,76,30,14
C#,49,67,21,7,76,34,22,3,28,46,13,20
D,12,21,63,20,8,123,4,26,2,60,43,22
D#,10,26,11,43,38,9,91,4,11,60,6,32
E,6,18,16,18,78,42,38,7,4,78,5,4
F,23,21,36,10,14,119,56,23,62,52,56,10
F#,14,26,2,56,38,59,114,11,32,109,16,22
G,4,3,19,2,10,17,1,28,4,21,20,12
G#,2,16,2,6,2,13,59,3,55,48,7,41
A,65,163,83,101,5,7,61,20,20,257,36,44
A#,5,15,109,4,6,24,24,13,6,23,183,4
B,28,18,25,50,26,16,7,4,22,27,2,59
