,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,171,53,29,97,99,217,29,27,24,88,25,52
C#,33,163,46,22,85,85,50,21,91,65,44,32
D,70,24,102,42,55,136,48,50,42,89,31,67
D#,28,21,25,64,46,19,82,15,33,31,18,30
E,30,60,72,28,82,69,37,62,50,180,19,19
F,126,54,108,30,57,331,38,33,92,205,53,28
F#,24,43,31,24,32,22,51,48,98,70,29,44
G,57,34,18,6,25,84,25,102,36,42,90,36
G#,52,116,15,23,22,63,27,25,87,82,13,110
A,225,72,131,32,127,80,51,89,28,243,61,43
A#,36,65,57,17,22,21,26,58,14,42,101,34
B,59,32,122,27,56,28,52,25,40,45,9,66
