,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,15,3,1,1,11,11,2,16,3,6,19,2
C#,26,26,1,19,9,2,5,1,6,6,1,4
D,4,2,9,9,3,2,7,6,1,1,1,1
D#,2,18,4,1,10,23,20,3,5,11,12,3
E,7,6,3,7,6,4,11,11,5,12,3,5
F,10,24,5,17,4,4,16,7,13,1,25,3
F#,6,12,1,31,9,20,14,1,9,2,13,2
G,18,2,8,4,13,5,1,16,1,8,3,1
G#,1,8,1,8,3,10,5,6,7,1,9,4
A,6,2,3,7,8,1,1,8,5,11,1,2
A#,1,24,1,8,1,14,17,1,11,10,32,1
B,3,5,3,1,3,1,3,6,2,1,2,3
