,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,260,14,79,74,48,80,11,20,3,70,62,47
C#,9,214,216,31,289,21,58,40,13,101,33,134
D,79,199,758,29,307,106,460,134,20,234,124,115
D#,55,22,22,125,35,32,43,35,13,24,22,31
E,31,122,321,19,456,19,326,334,54,248,11,53
F,67,17,76,33,15,256,20,34,18,80,62,7
F#,3,59,314,38,300,17,609,250,51,346,25,101
G,29,54,108,15,207,32,259,397,11,224,107,137
G#,3,13,28,9,23,7,42,11,97,70,19,58
A,136,187,332,31,199,52,179,223,45,1027,50,204
A#,61,86,154,38,14,50,23,20,25,38,277,36
B,35,172,158,17,101,13,83,82,30,203,30,308
