,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,341,9,79,70,282,189,6,231,21,47,82,80
C#,41,138,16,27,52,104,4,11,12,35,2,44
D,118,37,129,12,102,214,18,201,20,64,5,31
D#,22,26,15,48,3,6,91,24,31,5,8,10
E,74,24,74,1,201,33,12,330,60,328,24,117
F,144,39,65,54,77,211,14,70,127,140,50,30
F#,44,24,8,12,1,36,18,16,10,61,10,19
G,322,21,190,1,68,94,23,320,10,130,152,99
G#,61,36,19,18,36,30,24,28,135,22,23,20
A,180,82,107,2,313,36,25,115,24,357,29,37
A#,28,26,52,24,23,54,2,48,40,65,52,1
B,61,12,177,7,121,14,18,14,24,53,2,72
