,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,14,1,8,6,3,16,1,9,1,8,16,1
C#,1,9,2,1,37,3,4,21,39,2,112,2
D,6,10,8,6,1,11,3,4,3,1,9,7
D#,8,1,7,5,5,23,7,4,38,8,8,3
E,7,24,5,1,22,2,7,2,2,1,2,12
F,21,1,13,31,1,29,7,3,2,9,18,3
F#,1,6,12,1,3,3,16,3,69,5,3,15
G,7,21,3,2,4,11,2,1,2,5,2,3
G#,2,40,3,1,1,1,88,2,2,5,7,53
A,7,13,1,8,8,17,6,3,136,2,2,5
A#,8,4,9,3,5,15,1,9,7,2,6,1
B,1,1,5,4,12,6,6,2,53,2,4,1
