,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,12,4,22,2,18,14,5,14,3,15,1,11
C#,14,23,9,9,19,6,23,2,14,16,16,36
D,16,7,23,5,12,23,20,21,1,12,20,27
D#,2,16,1,35,8,9,25,10,15,1,30,18
E,21,16,19,13,33,15,39,23,9,2,10,35
F,13,5,16,9,14,16,10,20,2,2,24,15
F#,6,31,19,21,45,12,41,7,10,8,40,53
G,22,5,14,11,30,12,12,22,5,7,8,27
G#,32,11,1,10,14,2,22,3,15,6,7,17
A,2,25,1,1,2,1,8,4,6,14,3,12
A#,3,14,23,38,5,15,45,5,14,1,32,9
B,10,25,27,17,35,21,36,39,17,18,15,57
