,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,256,28,47,6,49,65,4,15,2,46,26,46
C#,5,187,118,14,52,17,44,1,2,56,4,57
D,58,87,240,24,126,44,52,57,3,41,25,78
D#,19,12,24,39,42,5,19,4,5,34,4,7
E,47,73,75,24,218,60,83,49,32,105,3,41
F,45,18,47,14,40,119,42,37,4,37,29,8
F#,2,11,47,20,74,15,155,61,71,79,2,61
G,38,1,44,4,40,49,29,148,21,89,17,10
G#,4,5,1,8,15,6,39,10,97,113,3,29
A,11,28,81,34,94,47,83,74,71,308,88,149
A#,50,7,18,6,2,3,10,28,3,56,125,38
B,55,101,93,21,58,2,38,6,22,104,17,299
