,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,15,3,15,9,2,79,13,8,3,21,9,4
C#,5,22,6,2,5,2,8,1,1,12,7,4
D,9,1,68,4,11,32,24,19,12,39,32,7
D#,14,2,2,32,3,14,9,4,4,3,23,5
E,5,9,9,1,41,2,11,9,2,31,4,1
F,7,3,53,6,9,22,2,21,13,29,8,1
F#,4,13,27,10,10,2,50,5,1,15,4,9
G,10,3,23,22,11,9,1,27,2,20,17,1
G#,1,2,2,4,1,9,2,1,6,4,5,4
A,5,5,39,7,31,43,26,14,4,87,15,1
A#,12,2,13,13,15,20,8,37,3,15,37,1
B,7,7,1,4,1,5,9,1,4,1,4,17
