,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,15,20,18,50,8,3,5,6,13,3,12,19
C#,4,10,15,32,4,4,18,4,1,37,17,2
D,1,10,5,29,17,42,50,4,13,3,13,2
D#,11,5,14,54,3,36,63,118,25,6,65,6
E,4,3,29,3,6,79,10,17,3,4,5,11
F,10,3,18,10,3,10,31,14,12,1,46,18
F#,1,16,1,6,8,5,2,23,1,27,9,42
G,26,15,1,42,14,6,1,18,17,31,92,31
G#,19,6,24,13,3,5,1,2,10,5,22,8
A,19,10,6,11,8,3,1,3,1,2,13,25
A#,23,18,25,125,8,16,4,38,17,12,62,4
B,12,18,30,26,13,3,10,13,4,27,10,8
