,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,21,5,11,61,14,11,25,17,4,104,5,14
C#,7,182,25,10,31,14,73,14,2,39,60,36
D,7,25,102,6,12,96,87,27,37,28,39,77
D#,69,16,4,145,36,71,57,14,63,8,38,81
E,42,36,21,55,61,6,31,58,7,19,19,48
F,52,14,58,25,9,87,31,9,158,19,12,20
F#,12,51,97,105,42,22,231,28,16,41,62,92
G,12,14,28,8,82,9,40,54,1,4,19,45
G#,2,16,18,113,8,68,19,4,20,15,61,73
A,60,27,31,14,30,61,41,16,6,116,3,18
A#,5,70,79,20,16,33,95,12,5,6,84,39
B,3,37,69,40,63,16,68,67,94,24,62,177
