,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,107,28,60,73,46,67,27,68,8,53,51,32
C#,19,23,61,16,44,16,17,26,7,14,39,3
D,57,39,134,37,18,78,52,129,19,52,86,37
D#,62,20,43,48,23,30,15,52,15,17,30,13
E,31,45,20,17,37,21,24,56,10,37,37,26
F,51,19,47,26,31,69,8,31,29,47,61,19
F#,21,14,43,9,47,10,24,54,5,32,12,7
G,101,25,72,60,42,41,40,167,14,60,114,33
G#,19,7,16,12,3,23,3,22,27,21,22,11
A,62,24,63,18,19,25,38,75,20,70,53,16
A#,57,34,131,41,24,45,26,65,22,66,88,13
B,33,8,48,11,27,13,4,23,10,14,19,50
