,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,312,11,183,20,238,71,3,58,30,183,26,173
C#,10,83,104,36,116,9,42,14,35,77,16,53
D,192,112,246,23,324,151,39,39,14,93,20,210
D#,17,10,30,42,69,16,11,2,6,16,5,7
E,233,114,285,48,950,181,97,110,64,292,20,106
F,82,12,168,11,211,238,24,82,20,77,25,24
F#,7,30,32,12,98,5,37,39,76,59,4,51
G,71,14,35,6,104,108,46,221,17,81,21,49
G#,21,22,12,6,54,40,63,17,59,170,3,90
A,165,80,130,8,203,103,70,106,162,874,37,205
A#,19,24,22,6,18,17,5,28,3,47,14,23
B,179,107,216,13,114,35,13,57,71,175,11,195
