,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,308,47,67,51,20,15,5,13,15,49,45,100
C#,50,351,107,31,52,13,35,5,19,16,35,52
D,84,106,1162,47,75,41,119,177,3,67,71,102
D#,33,31,39,298,42,50,26,25,23,10,12,29
E,26,51,110,54,285,33,87,40,16,39,7,42
F,22,19,44,13,50,298,47,26,6,6,49,1
F#,11,29,83,37,103,22,391,147,24,143,19,78
G,31,7,143,26,52,31,156,687,26,93,44,145
G#,31,19,1,13,24,15,26,27,347,23,5,8
A,46,25,94,9,26,19,103,146,38,630,47,80
A#,24,23,43,21,4,39,38,40,10,93,302,47
B,69,58,161,18,57,5,54,108,12,94,48,432
