,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,60,2,40,286,36,62,8,20,3,15,11,3
C#,1,79,8,15,12,13,79,2,20,3,7,5
D,32,5,158,23,14,218,87,115,6,57,65,17
D#,28,7,24,64,8,165,24,114,72,34,26,7
E,13,4,14,1,32,3,5,17,11,32,1,24
F,76,4,26,6,4,136,3,31,35,154,245,4
F#,16,13,12,1,5,1,49,6,25,89,68,17
G,89,8,39,14,4,10,10,54,4,9,87,55
G#,68,7,21,6,5,1,47,4,18,1,14,32
A,142,9,115,80,10,18,10,11,1,56,12,1
A#,21,79,270,42,6,88,2,5,6,10,47,11
B,2,26,69,35,21,9,2,4,1,5,4,16
