,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,51,3,24,32,2,6,1,28,4,3,18,4
C#,5,8,3,1,8,2,2,4,2,1,2,21
D,6,1,47,7,5,24,25,64,3,7,13,13
D#,35,4,13,18,2,13,1,29,4,19,6,6
E,22,1,2,1,7,2,5,6,6,2,14,4
F,8,1,14,13,3,29,2,25,14,2,26,2
F#,2,4,8,2,1,6,12,13,2,9,6,6
G,22,1,27,53,3,18,10,44,2,2,64,12
G#,15,1,8,3,5,12,1,2,10,1,6,4
A,25,2,9,1,2,9,1,15,2,21,5,2
A#,6,9,64,14,1,14,2,14,22,16,28,2
B,15,2,10,4,4,4,3,13,1,6,2,2
