,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,38,8,1,42,130,14,1,7,49,69,1,2
C#,4,8,25,6,234,7,46,6,20,36,6,39
D,2,2,2,18,139,4,186,1,6,50,2,40
D#,42,10,12,27,82,9,3,10,42,54,6,2
E,19,103,69,30,134,41,60,145,175,140,48,161
F,13,4,2,5,23,14,11,2,25,180,3,18
F#,1,1,1,1,73,10,161,16,1,115,1,114
G,6,1,1,14,23,2,9,6,4,42,5,115
G#,56,19,1,46,36,17,1,4,47,56,6,188
A,196,136,92,7,98,46,35,28,46,165,27,133
A#,138,4,5,8,15,2,1,2,8,19,7,19
B,1,27,222,2,138,26,112,1,76,83,1,94
