,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,97,37,50,65,51,39,17,13,3,52,22,34
C#,26,125,206,41,188,36,122,52,15,89,24,84
D,44,185,578,18,241,102,253,138,108,146,57,167
D#,21,16,16,48,98,30,58,12,17,35,1,22
E,31,130,230,61,397,27,62,147,73,198,20,125
F,29,6,50,10,26,85,71,29,40,100,43,13
F#,16,62,141,43,95,44,152,78,42,329,32,93
G,40,69,73,10,82,36,77,161,20,194,63,117
G#,19,33,95,1,33,16,20,24,57,137,36,127
A,117,235,227,34,146,52,208,181,134,656,37,83
A#,14,43,111,8,16,19,10,32,4,41,54,80
B,26,67,261,35,128,16,76,75,85,133,43,298
