,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,42,7,39,5,54,41,3,68,2,42,7,79
C#,21,6,13,1,22,2,1,13,31,8,1,2
D,73,16,47,2,38,42,12,45,3,23,125,25
D#,6,23,2,2,21,1,8,4,65,4,186,5
E,37,8,72,32,37,39,6,51,2,26,34,24
F,48,20,33,79,38,26,9,18,6,14,1,22
F#,2,3,6,1,12,1,12,28,3,16,1,20
G,69,7,39,3,42,26,9,50,4,62,230,62
G#,64,1,67,1,1,5,4,1,1,12,77,6
A,48,6,18,2,25,21,4,35,8,70,18,46
A#,6,1,2,191,1,96,23,1,3,13,6,5
B,58,2,39,4,44,31,37,58,62,19,4,20
