,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1225,21,217,117,168,91,45,390,17,107,129,196
C#,24,128,103,4,21,20,1,21,4,27,30,7
D,296,84,444,136,189,137,42,312,8,65,82,109
D#,158,11,123,480,39,16,15,56,32,9,28,12
E,157,25,258,30,262,106,30,185,23,85,19,39
F,69,14,162,74,157,167,7,148,44,87,45,60
F#,34,2,24,4,24,2,109,149,1,43,5,16
G,414,29,248,76,226,247,105,1461,144,238,41,175
G#,21,4,4,13,6,52,2,181,237,38,8,48
A,86,19,92,9,74,53,40,243,7,93,87,168
A#,31,29,85,31,15,57,1,92,44,83,197,11
B,208,19,144,5,38,86,13,166,54,96,5,80
