,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,263,40,40,71,11,33,7,8,50,23,45,5
C#,39,101,13,35,12,113,19,6,89,5,46,6
D,26,14,311,33,11,84,57,4,1,19,48,25
D#,55,52,36,107,8,52,48,9,62,3,36,8
E,7,1,7,8,111,14,13,12,1,17,5,2
F,30,71,24,32,18,159,37,23,69,53,102,6
F#,3,26,19,33,8,52,114,10,27,56,71,11
G,2,7,1,8,25,6,16,50,16,32,50,1
G#,77,91,3,66,2,33,34,16,93,7,11,20
A,35,18,60,55,10,17,11,19,8,92,52,3
A#,55,61,97,17,7,60,49,25,28,71,251,10
B,4,2,22,11,16,1,25,6,10,2,14,12
