,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,6,9,10,13,9,11,2,7,8,2,6,3
C#,7,15,14,42,12,12,10,3,26,1,12,67
D,1,13,2,9,5,5,1,3,4,10,2,2
D#,8,55,3,75,69,14,37,12,49,8,28,22
E,8,21,4,62,23,6,24,4,20,2,9,9
F,7,4,5,13,1,6,8,3,7,8,15,8
F#,4,9,2,45,27,6,52,15,73,8,14,46
G,3,8,2,12,2,4,20,4,5,2,10,3
G#,15,22,7,36,20,8,93,10,23,3,23,14
A,10,2,3,9,2,3,7,4,8,1,1,6
A#,10,23,4,27,6,7,12,6,34,3,21,37
B,7,41,1,37,17,6,35,4,17,3,49,37
