,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,3,8,7,8,10,4,7,5,22,4,8,5
C#,7,29,3,41,15,8,16,3,18,23,28,35
D,6,3,6,7,3,6,2,3,2,7,2,2
D#,15,46,5,88,36,14,43,12,43,7,18,28
E,4,28,7,38,23,6,18,3,16,1,9,16
F,7,5,4,15,3,10,7,5,7,4,11,6
F#,5,12,2,45,24,6,61,13,38,8,20,50
G,5,5,2,15,3,5,10,9,6,5,6,4
G#,13,19,2,37,24,6,58,5,46,5,25,23
A,6,2,4,4,3,3,2,5,10,3,1,8
A#,13,12,2,25,10,11,20,10,25,6,29,31
B,7,33,5,33,15,5,40,2,30,7,31,39
