,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,3,9,20,1,12,1,9,9,3,5,7,11
C#,1,1,11,4,5,3,84,2,51,2,4,58
D,25,1,22,8,11,16,9,42,5,14,15,22
D#,2,1,2,1,8,4,2,4,5,3,12,2
E,9,1,18,4,19,14,3,13,13,13,3,13
F,3,1,15,3,12,15,1,12,7,3,6,9
F#,6,74,8,11,1,3,1,7,25,6,2,5
G,12,4,47,7,15,8,4,29,3,7,1,29
G#,1,103,6,5,14,5,47,3,5,4,4,1
A,8,2,9,20,14,4,4,7,17,166,8,5
A#,6,1,17,11,13,11,3,4,1,3,7,4
B,20,3,15,3,14,3,2,34,2,4,3,27
